uuid,sex,age,age_group,occupation,district,visit,time_slot
cf84816ec5be445791fce6ceec714021,남자,48,40대,"전직 철도운송 관련 종사원, 현재 구직중",울산-남구,False,
5bd1044aa75f4cfe95d58dd9d760caf9,여자,22,20대,회계 사무원,서울-마포구,True,11-14
7ae97bfbc1eb4609b5b9f0d99975e5b6,여자,51,50대,무직,경기-성남시 분당구,False,
05a816b92bdc45e3907dcd1301efe7c7,남자,72,60대+,무직,인천-계양구,False,
90e2ccf234854c2f9e4f6867aec6c926,여자,43,40대,무직,서울-양천구,False,
01a92b27599c483a9672d1574843b3e5,남자,34,30대,무직,서울-양천구,False,
07500c855484452ebdc78ed1ef5c0432,남자,41,40대,교육 및 훈련 사무원,충청남-홍성군,False,
79862e417a3047c1b695b7cbe5653b90,여자,34,30대,"전직 기업 고위 임원, 현재 구직중",제주-서귀포시,False,
315bc64a01614275be06f4678311e169,남자,40,40대,마케팅 전문가,전라남-광양시,False,
4a81c69dbeed4ddba4d883053f6030a2,여자,78,60대+,건물 청소원,경기-남양주시,False,
7f8d4c4073f64c64afe58afc75b33a30,여자,31,30대,건축시공 기술자,부산-남구,False,
bcdc99a845ec4410b9c52a610c49dd13,남자,40,40대,하역 및 적재 관련 단순 종사원,경기-광주시,False,
c495a6025d774434b239389a090f191e,여자,62,60대+,무직,서울-양천구,False,
eaf38b41946f4473b0106b20a852109a,남자,57,50대,건설 단순 종사원,서울-동작구,False,
c14efc585c46499b85dc81d2e3c544bb,남자,32,30대,자재 관리 사무원,충청북-청주시 흥덕구,False,
fe5cfbfcfe7f4044ae3cb6b0925cdad0,남자,24,20대,무직,충청북-청주시 흥덕구,False,
4c2004e1c424446593add52d85bb4772,여자,76,60대+,건물 청소원,전북-전주시 덕진구,False,
0f586a71782044ffae8faf34766d49bb,남자,59,50대,산업 안전원,인천-미추홀구,False,
5db99407e4914086bdc586ce3af034ad,여자,66,60대+,무직,대전-동구,False,
f8f7c8e04c3743cabee09969b2ea15b4,여자,66,60대+,무직,서울-용산구,False,
8b4b31a6876f4a63b9bfd597d136c541,여자,46,40대,무직,서울-성북구,False,
aee2ab8d43804509b690c79d5eb4edb3,여자,42,40대,음식 서비스 종사원,대구-달성군,False,
c8eebbd44b8446a2aa8f317e92673d0b,여자,24,20대,무직,인천-부평구,False,
3f93ea9aed41470a8d9a04a027f2712b,남자,35,30대,마케팅 전문가,경기-수원시 영통구,False,
a4044a66e84f4b83a86647b521018e99,남자,34,30대,산업 안전원,부산-수영구,False,
eb808759670d475db7e4e9ef3a336394,남자,42,40대,경·소형 화물차 운전원,경기-안산시 단원구,False,
409a149838a342a4923cc5e2f8895a00,남자,29,20대,광고 전문가,충청북-청주시 흥덕구,False,
a6090e0fba6d441a8591c702dd0170a4,여자,30,30대,산업 안전원,인천-서구,False,
21c59424e6534bfbba67eb00fb0f18de,남자,26,20대,무직,울산-중구,False,
54bc6801cd324d2d9aad12d57b534e93,남자,36,30대,무직,서울-관악구,True,14-17
3b3ad8974df847558c1db446243b7588,남자,66,60대+,"전직 경영 기획 사무원, 현재 구직중",서울-동작구,False,
e472e8e0067d4374a8c9a54f202d4bc6,남자,33,30대,자동차 차체 부품 조립원,경기-수원시 권선구,False,
5364e9a824ff437aa47609f97e59ccc3,여자,68,60대+,농학 연구원,경기-부천시 오정구,False,
92abfdff015844808fe11e8ed5b1ecb0,여자,61,60대+,무직,광주-광산구,False,
c0c7a36b83464908892ffde369b059f5,남자,69,60대+,무직,경기-부천시 원미구,False,
1f2bff746a544e40a0791f7f96800384,남자,50,50대,가스 용접원,경기-화성시,False,
d33a9dce79154183a6c698c4c5434683,남자,76,60대+,무직,서울-성북구,False,
f217fa750bd94a2d9510fbe4122493ec,남자,21,20대,전기제품 개발 기술자 및 연구원,경기-용인시 수지구,False,
0782993bb7c04b24b0bca85448d9b294,여자,39,30대,무직,서울-영등포구,False,
de7685e9cb95441ab3a4f4a56e6a261c,남자,59,50대,판금원,경상남-거제시,False,
9a712655d315471289ace698501a6285,여자,62,60대+,일반 비서,부산-사하구,False,
fa04984f14aa4b3596fa8e7ee61db7de,여자,66,60대+,무직,서울-은평구,False,
494dfb6c3ba84892bd31026637f1fcf3,여자,43,40대,경리 사무원,경상북-포항시 북구,False,
b44a9b351721497b8d9b1af0dbe976b6,남자,56,50대,컴퓨터 설치 및 수리원,강원-원주시,False,
4fbe15bac4dc419a93f87d8d20328e5c,남자,84,60대+,무직,전북-익산시,False,
d7ec64747ef1477cb2e85e2d609a5a6a,남자,41,40대,금형원,경상남-창원시 성산구,False,
eeaedeaf280c4883867608b2779f7d48,남자,46,40대,일반 비서,충청북-진천군,False,
cc0150ff6a2a43318ca14f285a8894f9,여자,55,50대,산업용로봇 조작원,서울-송파구,True,14-17
5504d9df440f458fac3aa876c614c269,남자,63,60대+,무직,서울-강남구,False,
7b6b1d99489e46cbbc04c495773b791e,남자,59,50대,경·소형 화물차 운전원,대구-달성군,False,
9bbc884b683f477f930e6e3f0c64cce2,여자,22,20대,관리 비서,울산-동구,True,17-21
5a7a39bfd8444c8cb563c70c13c54cf9,여자,55,50대,한식 조리사,경상북-구미시,False,
6d82b2ac2fc0426ca12b1e35e74a4eed,여자,33,30대,자동차 부품 기술 영업원,부산-사하구,True,11-14
cc370f79f9d844578570eca897e51feb,여자,50,50대,시설 경비원,서울-강북구,False,
c89a8e39b13d409b9391bf47f3861f44,남자,60,60대+,시설 경비원,경상남-양산시,False,
21f8244722a144ed9dd2da3eb437e3e5,여자,57,50대,무직,인천-미추홀구,False,
30e6257ad9b54658b63ba2b8ede7cf34,남자,50,50대,전자제품 개발 기술자 및 연구원,서울-노원구,True,11-14
ae8890f584e24e44b3dbadb83ba54b2f,남자,75,60대+,무직,서울-강서구,False,
15f68575ed614748ae33213d9fe409ea,여자,66,60대+,그 외 기능 관련 종사원,충청남-서산시,False,
d1344d8c3c5948f6b5fb58c5a8ab63a9,여자,45,40대,산후조리 종사원,충청남-천안시 서북구,False,
93c9e5d3f0e74af08f1ffe7a0fcbf1d6,여자,60,60대+,무직,부산-사하구,False,
e43c90d8825545bfb1052a06051310c3,여자,82,60대+,무직,서울-서대문구,False,
378a2fce734c4e7d8ec9b9e2e19b7041,여자,71,60대+,무직,울산-남구,False,
8d4505292f96468a82c7cfc5e9235a51,남자,29,20대,전기 및 전자 제품 생산 관리자,충청남-서산시,False,
249f8893f19445539a3daf20644154a7,남자,27,20대,무직,부산-남구,True,11-14
863a40f6501b4650b1a4ff4aa306d9ad,여자,37,30대,상담 전문가,대구-북구,False,
5ba45b849d324976b133cc150a66261b,남자,53,50대,병무행정 사무원,전라남-목포시,False,
ea63062ddf23417284ba8fc756e52ab6,여자,27,20대,사무 보조원,부산-부산진구,True,17-21
9e39a7d88eaf4bfeb5992f73c0e1ddb1,여자,28,20대,바텐더,서울-관악구,True,17-21
7aeeab80255e4721baa4f04492f487bb,여자,74,60대+,세탁원 및 다림질원,경상북-포항시 북구,False,
787b6dff16d5404bb520cab7c717adb3,남자,26,20대,건물 경비원,전북-김제시,False,
b7b1bc536b7d4f2e91a6b2e14b30a3cd,여자,51,50대,상·하수 배관공,경상북-포항시 북구,True,11-14
2c2738dbae0641019b5de2f21f721e24,여자,49,40대,데이터 관리 및 운영자,서울-강북구,False,
79b885d3349a4a688c1fe5e626825f95,남자,44,40대,무직,제주-제주시,False,
6664fd97b7f04a458ece463af078aa16,남자,55,50대,중식 조리사,경기-양평군,False,
ba2cd5537b3849c3a3ff2d46a0ee4f64,남자,77,60대+,무직,전라남-여수시,False,
be47130c1d814f94b905ec0b5863efe7,여자,52,50대,무직,부산-북구,False,
8aaabc11a6064662b928bf0866d3016e,여자,72,60대+,그 외 하역 및 적재 단순 종사원,인천-미추홀구,False,
e555bd2eb5c045fbbc9be825b277dfc3,남자,76,60대+,무직,대구-남구,False,
6fb9b50a10a14260886b2ba8fb64c7c8,남자,24,20대,승용차 및 승합차 운전원,서울-강서구,True,17-21
2200eeea303c4977ac53716e44219ee4,남자,80,60대+,건물 경비원,경기-시흥시,False,
d7daaaa1aaf64b8688a014c16fea33bf,남자,39,30대,경리 사무원,서울-동작구,False,
12aa168446fd452aba5c45d01411f287,여자,89,60대+,무직,경상남-창원시 의창구,False,
7ebb530f6f8947458b4552d8c42face1,남자,42,40대,무직,서울-은평구,False,
b1826ff65e8a4b8d80283e46bd7c46a7,남자,57,50대,무직,인천-연수구,False,
ad4e0ca0a8a24262a5073a5bf1bd69a0,남자,34,30대,도로운송 사무원,전라남-장성군,False,
b770fbfb84834fea9d2639620f44a0df,남자,67,60대+,무직,부산-기장군,False,
36d10d1e43464624b59bd06b41320dfd,남자,66,60대+,무직,강원-태백시,False,
723eb646f2b94366b48b3536d98630cf,여자,20,20대,건물 청소원,서울-관악구,False,
f4539987b3b14571a0c2216b7191c4d7,여자,33,30대,네트워크 프로그래머,세종-세종시,False,
6602130799f040b5bc835cd9ec47fffc,남자,63,60대+,경영 컨설턴트,세종-세종시,False,
574d1dfe55c74432a69cda0bea69b38c,여자,71,60대+,무직,강원-원주시,False,
90a0067584b84259bc74bcc3f6531708,남자,53,50대,여행 사무원,경기-성남시 분당구,True,11-14
286f39c8785a4c95a2d3cf3dc0ec2a5c,여자,75,60대+,무직,인천-서구,False,
1b6bc2e9e1324782a1df47b6d137594c,여자,61,60대+,무직,부산-강서구,False,
21bd050f00bb4657b976aeec108d6aba,여자,30,30대,일반 비서,경기-광주시,False,
efcf7e3093bf42cbaf84f3b115475cfd,남자,30,30대,가스 점검원,부산-사하구,False,
1befe7e7540a4a09bafacfa75d9b6d37,여자,36,30대,무직,경기-성남시 분당구,False,
f503e0263db84e2781b2cfe8a29ae8a4,남자,56,50대,사무 보조원,경기-광주시,False,
cb72052301f0443b917ee4d24acb3b5b,여자,47,40대,무직,대구-북구,False,
ef993080649a4fb9adbb65b41b6e8a02,여자,58,50대,그 외 전자공학 기술자 및 연구원,인천-서구,False,
0e1bb5270b18418680883041401fb689,남자,28,20대,산업기계공학 기술자 및 연구원,인천-부평구,False,
7b6886a34d94433d88e073f549dcd7c4,남자,53,50대,자재 관리 사무원,인천-서구,False,
bbfa3c3107d04bba866c5089cc643369,여자,66,60대+,무직,충청남-아산시,False,
2c6db209a45741679e0d3f64aa2cb09a,여자,80,60대+,무직,대구-달서구,False,
60a8d8b184da4e6e84e0841d29749440,여자,53,50대,식품 영업원,서울-강남구,True,17-21
360938565d0c49fb8343509fb04c6663,여자,85,60대+,무직,부산-동래구,False,
f8cab7794feb44ce8ce0645ad96da1c2,남자,47,40대,수금원,전북-전주시 덕진구,False,
3a4bd4a5454d46feb030b470dcc73ba9,여자,71,60대+,무직,경상남-합천군,False,
169d4da0c8bc4846acc86098b3b94e4c,여자,21,20대,무직,경기-성남시 분당구,True,14-17
fb942a9472f7424ea31853b688d2a538,남자,46,40대,무직,서울-강동구,False,
